product_sku,version,step_no,step_name,temperature_c,target_ph,viscosity_cp,mix_time_min,rpm,notes
HH-001,v1.0,1,Dry Premix – Fillers & Builder,,,,15,120,Blend sodium sulphate and sodium carbonate until homogeneous
HH-001,v1.0,2,LABSA Slurry Addition,,,,10,80,Add LABSA paste slowly; avoid lumping
HH-001,v1.0,3,Fragrance & Colour Blending,,,,8,60,Add fragrance and colorant; blend until uniform
HH-001,v1.0,4,QC Sampling & Transfer to Filling,,7.5,,,5,40,Check appearance, pH and bulk density before filling
HH-002,v1.0,1,Dry Premix – Fillers & Builder,,,,15,120,Blend sodium sulphate and sodium carbonate until homogeneous
HH-002,v1.0,2,LABSA Slurry Addition,,,,10,80,Add LABSA paste slowly; avoid lumping
HH-002,v1.0,3,Fragrance & Colour Blending,,,,8,60,Add fragrance and colorant; blend until uniform
HH-002,v1.0,4,QC Sampling & Transfer to Filling,,7.5,,,5,40,Check appearance pH and bulk density before filling
HH-003,v1.0,1,Dry Premix – Fillers & Builder,,,,15,120,Blend sodium sulphate and sodium carbonate until homogeneous
HH-003,v1.0,2,LABSA Slurry Addition,,,,10,80,Add LABSA paste slowly; avoid lumping
HH-003,v1.0,3,Fragrance & Colour Blending,,,,8,60,Add fragrance and colorant; blend until uniform
HH-003,v1.0,4,QC Sampling & Transfer to Filling,,7.5,,,5,40,Check appearance pH and bulk density before filling
HH-004,v1.0,1,Dry Premix – Base Salts,,,,15,120,Pre-blend sodium carbonate and sodium sulphate
HH-004,v1.0,2,Enzyme & OBA Premix,,,,8,60,Pre-blend protease enzyme and optical brightener in separate container
HH-004,v1.0,3,LABSA Slurry Addition,,,,10,80,Incorporate LABSA slurry into dry base
HH-004,v1.0,4,Enzyme Blend Incorporation,,,,8,40,Add enzyme/OBA premix at low speed to preserve enzyme activity
HH-004,v1.0,5,Fragrance & Final QC,,7.5,,,5,40,Add fragrance; check pH bulk density and enzyme activity
HH-005,v1.0,1,Dry Premix – Base Salts,,,,15,120,Pre-blend sodium carbonate and sodium sulphate
HH-005,v1.0,2,LABSA Slurry Addition,,,,10,80,Incorporate LABSA slurry into dry base
HH-005,v1.0,3,Enzyme & OBA Premix,,,,8,60,Pre-blend protease enzyme and optical brightener
HH-005,v1.0,4,Enzyme Blend Incorporation,,,,8,40,Add enzyme/OBA premix at low speed to preserve enzyme activity
HH-005,v1.0,5,Fragrance & Final QC,,7.5,,,5,40,Add fragrance; check pH bulk density and enzyme activity
HH-006,v1.0,1,Dry Premix – Base Salts,,,,15,120,Pre-blend sodium carbonate and sodium sulphate
HH-006,v1.0,2,LABSA Slurry Addition,,,,10,80,Incorporate LABSA slurry into dry base
HH-006,v1.0,3,Enzyme & OBA Premix,,,,8,60,Pre-blend protease enzyme and optical brightener
HH-006,v1.0,4,Enzyme Blend Incorporation,,,,8,40,Add enzyme/OBA premix at low speed to preserve enzyme activity
HH-006,v1.0,5,Fragrance & Final QC,,7.5,,,5,40,Add fragrance; check pH bulk density and enzyme activity
HH-007,v1.0,1,Dry Premix – Base Salts,,,,15,120,Pre-blend sodium carbonate and sodium sulphate
HH-007,v1.0,2,LABSA Slurry Addition,,,,10,80,Incorporate LABSA slurry into dry base
HH-007,v1.0,3,Colour-Safe Enzyme Incorporation,,,,8,40,Add lipase/cellulase blend without OBA at low speed
HH-007,v1.0,4,Fragrance & Final QC,,7.5,,,5,40,Add fragrance; verify no OBA present; check pH and bulk density
HH-008,v1.0,1,Dry Premix – Base Salts,,,,15,120,Pre-blend sodium carbonate and sodium sulphate
HH-008,v1.0,2,LABSA Slurry Addition,,,,10,80,Incorporate LABSA slurry into dry base
HH-008,v1.0,3,Colour-Safe Enzyme Incorporation,,,,8,40,Add lipase/cellulase blend without OBA at low speed
HH-008,v1.0,4,Fragrance & Final QC,,7.5,,,5,40,Add fragrance; verify no OBA present; check pH and bulk density
HH-009,v1.0,1,Dry Premix – Base Salts,,,,15,120,Pre-blend sodium carbonate and sodium sulphate
HH-009,v1.0,2,LABSA Slurry Addition,,,,10,80,Incorporate LABSA slurry into dry base
HH-009,v1.0,3,Colour-Safe Enzyme Incorporation,,,,8,40,Add lipase/cellulase blend without OBA at low speed
HH-009,v1.0,4,Fragrance & Final QC,,7.5,,,5,40,Add fragrance; verify no OBA present; check pH and bulk density
HH-010,v1.0,1,Base Filler Premix,,,,10,120,Blend sodium sulphate and sodium carbonate in dry mixer
HH-010,v1.0,2,Sodium Percarbonate Addition,,,,8,60,Add sodium percarbonate carefully; avoid heat and moisture
HH-010,v1.0,3,TAED Activator & Fragrance Blend,,,,6,40,Incorporate TAED activator and fragrance at low speed
HH-010,v1.0,4,QC Sampling & Transfer,,9.5,,,5,30,Check active oxygen content and pH before filling
HH-011,v1.0,1,Base Filler Premix,,,,10,120,Blend sodium sulphate and sodium carbonate in dry mixer
HH-011,v1.0,2,Sodium Percarbonate Addition,,,,8,60,Add sodium percarbonate carefully; avoid heat and moisture
HH-011,v1.0,3,TAED Activator & Fragrance Blend,,,,6,40,Incorporate TAED activator and fragrance at low speed
HH-011,v1.0,4,QC Sampling & Transfer,,9.5,,,5,30,Check active oxygen content and pH before filling
HH-012,v1.0,1,Base Filler Premix,,,,10,120,Blend sodium sulphate and sodium carbonate in dry mixer
HH-012,v1.0,2,Sodium Percarbonate Addition,,,,8,60,Add sodium percarbonate carefully; avoid heat and moisture
HH-012,v1.0,3,TAED Activator & Fragrance Blend,,,,6,40,Incorporate TAED activator and fragrance at low speed
HH-012,v1.0,4,QC Sampling & Transfer,,9.5,,,5,30,Check active oxygen content and pH before filling
HH-013,v1.0,1,Citric Acid & Filler Premix,,,,12,120,Blend citric acid and sodium bicarbonate filler uniformly
HH-013,v1.0,2,Sequestrant Addition,,,,8,80,Add EDTA or sodium gluconate for metal ion sequestration
HH-013,v1.0,3,Fragrance Blending,,,,6,60,Add dry fragrance powder or microencapsulated fragrance
HH-013,v1.0,4,QC Sampling & Transfer,,3.5,,,5,30,Check pH (aqueous solution) and particle size before filling
HH-014,v1.0,1,Citric Acid & Filler Premix,,,,12,120,Blend citric acid and sodium bicarbonate filler uniformly
HH-014,v1.0,2,Sequestrant Addition,,,,8,80,Add EDTA or sodium gluconate for metal ion sequestration
HH-014,v1.0,3,Fragrance Blending,,,,6,60,Add dry fragrance powder or microencapsulated fragrance
HH-014,v1.0,4,QC Sampling & Transfer,,3.5,,,5,30,Check pH (aqueous solution) and particle size before filling
HH-015,v1.0,1,Citric Acid & Filler Premix,,,,12,120,Blend citric acid and sodium bicarbonate filler uniformly
HH-015,v1.0,2,Sequestrant Addition,,,,8,80,Add EDTA or sodium gluconate for metal ion sequestration
HH-015,v1.0,3,Fragrance Blending,,,,6,60,Add dry fragrance powder or microencapsulated fragrance
HH-015,v1.0,4,QC Sampling & Transfer,,3.5,,,5,30,Check pH (aqueous solution) and particle size before filling
HH-016,v1.0,1,Water Charging,25,7,,,50,Charge demineralised water into mixing vessel; confirm temperature
HH-016,v1.0,2,SLES Addition & Dispersion,25,,,,200,Add SLES 70% paste slowly with agitation to prevent foaming
HH-016,v1.0,3,CAPB & Co-surfactant Addition,25,,,,150,Incorporate CAPB; mix until clear
HH-016,v1.0,4,pH Adjustment,25,7.0,,,100,Dose citric acid to achieve target pH 6.8–7.2
HH-016,v1.0,5,Fragrance & Preservative Addition,25,7.0,2000,10,80,Add fragrance oil and preservative; check viscosity and appearance
HH-017,v1.0,1,Water Charging,25,7,,,50,Charge demineralised water into mixing vessel
HH-017,v1.0,2,SLES Addition & Dispersion,25,,,,200,Add SLES 70% paste slowly with agitation
HH-017,v1.0,3,CAPB & Co-surfactant Addition,25,,,,150,Incorporate CAPB; mix until clear
HH-017,v1.0,4,pH Adjustment,25,7.0,,,100,Dose citric acid to achieve target pH 6.8–7.2
HH-017,v1.0,5,Fragrance & Preservative Addition,25,7.0,2000,10,80,Add fragrance oil and preservative; check viscosity and appearance
HH-018,v1.0,1,Water Charging,25,7,,,50,Charge demineralised water into mixing vessel
HH-018,v1.0,2,SLES Addition & Dispersion,25,,,,200,Add SLES 70% paste slowly with agitation
HH-018,v1.0,3,OBA & CAPB Addition,25,,,,150,Incorporate OBA solution and CAPB; mix until clear
HH-018,v1.0,4,pH Adjustment,25,7.0,,,100,Dose citric acid or NaOH to achieve target pH 7.0–7.5
HH-018,v1.0,5,Fragrance & Preservative,25,7.0,2000,10,80,Add fragrance and preservative; verify OBA fluorescence
HH-019,v1.0,1,Water Charging,25,7,,,50,Charge demineralised water into mixing vessel
HH-019,v1.0,2,SLES Addition & Dispersion,25,,,,200,Add SLES 70% paste slowly
HH-019,v1.0,3,OBA & CAPB Addition,25,,,,150,Incorporate OBA solution and CAPB
HH-019,v1.0,4,pH Adjustment,25,7.0,,,100,Adjust pH to 7.0–7.5 with citric acid
HH-019,v1.0,5,Fragrance & Preservative,25,7.0,2000,10,80,Add fragrance and preservative; verify OBA fluorescence
HH-020,v1.0,1,Water Charging,25,7,,,50,Charge demineralised water; confirm purity (demineralised)
HH-020,v1.0,2,SLES Addition,25,,,,150,Add SLES 70% at reduced rate; gentle mixing for baby product
HH-020,v1.0,3,CAPB & Glycerin Addition,25,,,,100,Incorporate CAPB and glycerin; mix until clear
HH-020,v1.0,4,pH Adjustment,25,6.5,,,80,Adjust pH to 6.5–7.0; milder than adult formulas
HH-020,v1.0,5,Fragrance-Free Preservative Dosing,25,6.5,1500,8,60,Add baby-safe preservative; no fragrance; confirm mild pH
HH-021,v1.0,1,Water Charging,25,7,,,50,Charge demineralised water
HH-021,v1.0,2,SLES Addition,25,,,,150,Add SLES 70% at reduced rate; gentle mixing
HH-021,v1.0,3,CAPB & Glycerin Addition,25,,,,100,Incorporate CAPB and glycerin; mix until clear
HH-021,v1.0,4,pH Adjustment,25,6.5,,,80,Adjust pH to 6.5–7.0 for baby-safe formulation
HH-021,v1.0,5,Fragrance-Free Preservative Dosing,25,6.5,1500,8,60,Add baby-safe preservative; confirm mild pH
HH-022,v1.0,1,Water Phase Heating,60,,,20,100,Heat demineralised water to 60 °C
HH-022,v1.0,2,Cationic Softener Addition,55,,,20,200,Add HTMAC or DEEDMAC to hot water with vigorous agitation
HH-022,v1.0,3,Cooling & Emulsification,35,,,15,150,Cool batch to 35 °C with continued stirring; observe viscosity build
HH-022,v1.0,4,Fragrance Addition,35,,,10,100,Incorporate floral fragrance oil; mix until homogeneous
HH-022,v1.0,5,pH Adjustment & QC,30,3.5,800,5,60,Adjust pH to 3.5–4.5 with citric acid; check viscosity
HH-023,v1.0,1,Water Phase Heating,60,,,20,100,Heat demineralised water to 60 °C
HH-023,v1.0,2,Cationic Softener Addition,55,,,20,200,Add hypoallergenic cationic ester quat with vigorous agitation
HH-023,v1.0,3,Cooling & Emulsification,35,,,15,150,Cool to 35 °C; no fragrance addition for sensitive variant
HH-023,v1.0,4,pH Adjustment & QC,30,3.5,800,5,60,Adjust pH to 3.5–4.5 with citric acid; no fragrance; check viscosity
HH-024,v1.0,1,Water Phase Heating,60,,,20,100,Heat demineralised water to 60 °C
HH-024,v1.0,2,Cationic Softener Addition,55,,,20,200,Add HTMAC to hot water with vigorous agitation
HH-024,v1.0,3,Cooling & Fragrance Addition,35,,,15,150,Cool to 35 °C; add fragrance concentrate for sachet format
HH-024,v1.0,4,pH Adjustment & QC,30,3.5,1200,5,60,Adjust pH to 3.5–4.5; higher viscosity for concentrated sachet
HH-025,v1.0,1,Water Charging,20,,,10,60,Charge cold demineralised water into SS vessel
HH-025,v1.0,2,Sodium Hypochlorite Addition,20,,,10,80,Pump in NaOCl solution at controlled rate; avoid splashing
HH-025,v1.0,3,pH Adjustment & QC,20,12.5,,,5,50,Verify pH 12.0–12.8 and available chlorine 5% by titration
HH-026,v1.0,1,Water Charging,20,,,10,60,Charge cold demineralised water
HH-026,v1.0,2,Concentrated NaOCl Addition,20,,,10,80,Add high-strength hypochlorite concentrate at controlled rate
HH-026,v1.0,3,pH Adjustment & QC,20,12.5,,,5,50,Verify pH 12.0–12.8 and available chlorine 10% by titration
HH-027,v1.0,1,Water Charging,25,7,,,50,Charge demineralised water into mixing vessel
HH-027,v1.0,2,SLES Addition & Dispersion,25,,,,200,Add SLES paste slowly; mix until fully dissolved
HH-027,v1.0,3,CAPB & Lauric Acid Addition,25,,,,150,Incorporate CAPB and lauric acid; mix to clarity
HH-027,v1.0,4,Salt Thickening,25,,2000,10,100,Add NaCl solution gradually; monitor viscosity build
HH-027,v1.0,5,Fragrance & Preservative,25,6.8,2500,8,80,Add lemon fragrance and preservative; check pH and viscosity
HH-028,v1.0,1,Water Charging,25,7,,,50,Charge demineralised water
HH-028,v1.0,2,SLES Addition & Dispersion,25,,,,200,Add SLES paste slowly
HH-028,v1.0,3,CAPB Addition,25,,,,150,Incorporate CAPB; mix to clarity
HH-028,v1.0,4,Salt Thickening,25,,2000,10,100,Add NaCl solution; monitor viscosity
HH-028,v1.0,5,Fragrance & Preservative,25,6.8,2500,8,80,Add lemon fragrance and preservative; check pH and viscosity
HH-029,v1.0,1,Water Charging,25,7,,,50,Charge demineralised water
HH-029,v1.0,2,SLES Addition & Dispersion,25,,,,200,Add SLES paste slowly
HH-029,v1.0,3,CAPB Addition,25,,,,150,Incorporate CAPB; mix to clarity
HH-029,v1.0,4,Salt Thickening,25,,2000,10,100,Add NaCl solution; monitor viscosity
HH-029,v1.0,5,Orange Fragrance & Preservative,25,6.8,2500,8,80,Add orange fragrance and preservative; check pH and viscosity
HH-030,v1.0,1,Water Charging,25,7,,,50,Charge demineralised water
HH-030,v1.0,2,SLES Addition & Dispersion,25,,,,200,Add SLES paste slowly; mix to dissolution
HH-030,v1.0,3,CAPB & QUAT Addition,25,,,,150,Incorporate CAPB and benzalkonium chloride for antibacterial effect
HH-030,v1.0,4,Salt Thickening,25,,2000,10,100,Add NaCl; monitor viscosity
HH-030,v1.0,5,Fragrance & Preservative,25,6.5,2500,8,80,Add fragrance and preservative; verify QUAT level in QC
HH-031,v1.0,1,Water Charging,25,,,15,100,Charge demineralised water into mixing vessel
HH-031,v1.0,2,Surfactant & Builder Addition,25,,,,150,Add SLES and builder (sodium carbonate); mix to clarity
HH-031,v1.0,3,pH Adjustment,25,9.5,,,5,100,Dose NaOH to reach pH 9.0–10.0
HH-031,v1.0,4,Fragrance & Preservative,25,9.5,,8,80,Add fragrance; add preservative rated for alkaline pH
HH-032,v1.0,1,Water Charging,25,,,15,100,Charge demineralised water into mixing vessel
HH-032,v1.0,2,Surfactant & Builder Addition,25,,,,150,Add SLES and sodium carbonate builder; mix to clarity
HH-032,v1.0,3,pH Adjustment,25,9.5,,,5,100,Dose NaOH to reach pH 9.0–10.0
HH-032,v1.0,4,Fragrance & Preservative,25,9.5,,8,80,Add fragrance; add preservative rated for alkaline pH
HH-033,v1.0,1,Potassium Hydroxide Solution Prep,40,,,10,80,Dissolve KOH flakes in warm water; caution – exothermic
HH-033,v1.0,2,Fatty Acid Saponification,50,,,30,100,Slowly add palm/coconut fatty acid to KOH solution; mix to saponify
HH-033,v1.0,3,Neutralisation & pH Check,40,9.0,,,15,80,Allow partial neutralisation; target pH 8.5–9.5
HH-033,v1.0,4,Fragrance & QC,30,9.0,,10,60,Add fragrance; verify colour consistency; check pH and density
HH-034,v1.0,1,Water Charging,25,,,10,100,Charge demineralised water
HH-034,v1.0,2,Alkaline Builder Addition,25,12.0,,,10,150,Add sodium hydroxide and sodium carbonate; exothermic – monitor temp
HH-034,v1.0,3,Surfactant & Solvent Addition,25,,,,150,Add SLES and appropriate solvent; mix to homogeneity
HH-034,v1.0,4,Final pH Check & QC,25,11.5,,,5,80,Verify pH 11.0–12.0; check foam and degreasing performance
HH-035,v1.0,1,Water Charging,25,,,10,100,Charge demineralised water
HH-035,v1.0,2,Citric Acid Addition,25,2.5,,,10,150,Dissolve citric acid; caution – low pH; use PPE
HH-035,v1.0,3,Surfactant & Sequestrant Addition,25,,,,100,Add non-ionic surfactant and EDTA for enhanced chelation
HH-035,v1.0,4,Fragrance & QC,25,2.5,,,5,80,Add fragrance rated for acid pH; verify pH 2.0–3.0
HH-036,v1.0,1,Water Charging,25,7,,,15,80,Charge demineralised water
HH-036,v1.0,2,SLES Addition,25,,,,200,Add SLES 70% slowly; allow foam to settle between additions
HH-036,v1.0,3,CAPB & Glycerin Addition,25,,,,150,Incorporate CAPB and glycerin; mix to clarity
HH-036,v1.0,4,NaCl Thickening,25,,3000,10,80,Add NaCl solution; monitor viscosity to target 2500–3500 cP
HH-036,v1.0,5,Fragrance & Preservative,25,5.5,3000,8,60,Add fragrance oil and preservative; adjust pH to 5.5–6.0
HH-037,v1.0,1,Water Charging,25,7,,,15,80,Charge demineralised water
HH-037,v1.0,2,SLES Addition,25,,,,200,Add SLES 70% slowly
HH-037,v1.0,3,CAPB & Glycerin Addition,25,,,,150,Incorporate CAPB and glycerin; mix to clarity
HH-037,v1.0,4,NaCl Thickening,25,,3000,10,80,Add NaCl solution; monitor viscosity
HH-037,v1.0,5,Fragrance & Preservative,25,5.5,3000,8,60,Add fragrance oil and preservative; adjust pH to 5.5–6.0
