product_sku,warehouse_code,quantity,unit_cost,lot_number,expiry_date,reference,notes
SKU001,WH001,2400,85.00,LOT-2025-001,2026-03-31,INIT-2025-001,Opening stock tomato sauce 500ml
SKU002,WH001,4800,48.00,LOT-2025-002,2026-03-31,INIT-2025-002,Opening stock tomato sauce 250ml
SKU003,WH001,1800,78.00,LOT-2025-003,2026-09-30,INIT-2025-003,Opening stock tomato ketchup
SKU004,WH001,1200,95.00,LOT-2025-004,2025-09-30,INIT-2025-004,Opening stock mango juice 1L
SKU005,WH001,3600,42.00,LOT-2025-005,2025-07-31,INIT-2025-005,Opening stock passion fruit juice
SKU006,WH001,1080,92.00,LOT-2025-006,2025-09-30,INIT-2025-006,Opening stock pineapple juice 1L
SKU007,WH001,960,155.00,LOT-2025-007,2027-03-31,INIT-2025-007,Opening stock sunflower oil 1L
SKU008,WH001,480,295.00,LOT-2025-008,2027-03-31,INIT-2025-008,Opening stock sunflower oil 2L
SKU009,WH001,2000,130.00,LOT-2025-009,2025-09-30,INIT-2025-009,Opening stock wheat flour 2kg
SKU010,WH001,3500,68.00,LOT-2025-010,2025-09-30,INIT-2025-010,Opening stock wheat flour 1kg
SKU011,WH001,5000,18.00,LOT-2025-011,2028-01-01,INIT-2025-011,Opening stock table salt 500g
SKU012,WH001,4000,85.00,LOT-2025-012,2027-01-01,INIT-2025-012,Opening stock sugar 1kg
SKU013,WH001,2400,42.00,LOT-2025-013,2025-12-31,INIT-2025-013,Opening stock digestive biscuits
SKU014,WH001,1200,95.00,LOT-2025-014,2027-03-31,INIT-2025-014,Opening stock shower gel 250ml
SKU015,WH001,1800,88.00,LOT-2025-015,2027-03-31,INIT-2025-015,Opening stock liquid soap 500ml
