product_sku,version,line_no,material_code,quantity,unit,loss_percent,optional,alternative_group,notes
HH-001,v1.0,1,MAT001,180,KG,2.00,false,,Primary surfactant LABSA
HH-001,v1.0,2,MAT004,350,KG,1.00,false,,Alkaline builder
HH-001,v1.0,3,MAT005,120,KG,1.00,false,,Phosphate builder and water softener
HH-001,v1.0,4,MAT010,10,KG,0.50,false,,Floral fragrance
HH-001,v1.0,5,MAT031,300,KG,2.00,false,,Sachet laminate film (20g format)
HH-001,v1.0,6,MAT038,50000,PCS,1.00,false,,Printed sachet label B
HH-001,v1.0,7,MAT036,200,PCS,0.50,false,,Export master carton
HH-002,v1.0,1,MAT001,180,KG,2.00,false,,Primary surfactant LABSA
HH-002,v1.0,2,MAT004,350,KG,1.00,false,,Alkaline builder
HH-002,v1.0,3,MAT005,120,KG,1.00,false,,Phosphate builder and water softener
HH-002,v1.0,4,MAT010,10,KG,0.50,false,,Floral fragrance
HH-002,v1.0,5,MAT032,1000,PCS,0.50,false,,1kg kraft stand-up pouch
HH-002,v1.0,6,MAT036,84,PCS,0.50,false,,Export master carton
HH-003,v1.0,1,MAT001,180,KG,2.00,false,,Primary surfactant LABSA
HH-003,v1.0,2,MAT004,350,KG,1.00,false,,Alkaline builder
HH-003,v1.0,3,MAT005,120,KG,1.00,false,,Phosphate builder and water softener
HH-003,v1.0,4,MAT010,10,KG,0.50,false,,Floral fragrance
HH-003,v1.0,5,MAT033,100,PCS,0.50,false,,10kg kraft bag with handle
HH-003,v1.0,6,MAT036,10,PCS,0.50,false,,Export master carton
HH-004,v1.0,1,MAT001,150,KG,2.00,false,,Primary surfactant LABSA
HH-004,v1.0,2,MAT004,300,KG,1.00,false,,Alkaline builder
HH-004,v1.0,3,MAT005,100,KG,1.00,false,,Phosphate builder
HH-004,v1.0,4,MAT006,80,KG,1.00,false,,Oxygen bleach booster
HH-004,v1.0,5,MAT014,15,KG,1.00,false,,Protease-amylase enzyme blend
HH-004,v1.0,6,MAT015,5,KG,0.50,false,,Optical brightener CBS-X
HH-004,v1.0,7,MAT010,8,KG,0.50,false,,Floral fragrance
HH-004,v1.0,8,MAT031,250,KG,2.00,false,,Sachet laminate film (40g format)
HH-004,v1.0,9,MAT038,25000,PCS,1.00,false,,Printed sachet label B
HH-004,v1.0,10,MAT036,100,PCS,0.50,false,,Export master carton
HH-005,v1.0,1,MAT001,150,KG,2.00,false,,Primary surfactant LABSA
HH-005,v1.0,2,MAT004,300,KG,1.00,false,,Alkaline builder
HH-005,v1.0,3,MAT005,100,KG,1.00,false,,Phosphate builder
HH-005,v1.0,4,MAT006,80,KG,1.00,false,,Oxygen bleach booster
HH-005,v1.0,5,MAT014,15,KG,1.00,false,,Protease-amylase enzyme blend
HH-005,v1.0,6,MAT015,5,KG,0.50,false,,Optical brightener CBS-X
HH-005,v1.0,7,MAT010,8,KG,0.50,false,,Floral fragrance
HH-005,v1.0,8,MAT032,1000,PCS,0.50,false,,1kg kraft stand-up pouch
HH-005,v1.0,9,MAT036,84,PCS,0.50,false,,Export master carton
HH-006,v1.0,1,MAT001,150,KG,2.00,false,,Primary surfactant LABSA
HH-006,v1.0,2,MAT004,300,KG,1.00,false,,Alkaline builder
HH-006,v1.0,3,MAT005,100,KG,1.00,false,,Phosphate builder
HH-006,v1.0,4,MAT006,80,KG,1.00,false,,Oxygen bleach booster
HH-006,v1.0,5,MAT014,15,KG,1.00,false,,Protease-amylase enzyme blend
HH-006,v1.0,6,MAT015,5,KG,0.50,false,,Optical brightener CBS-X
HH-006,v1.0,7,MAT010,8,KG,0.50,false,,Floral fragrance
HH-006,v1.0,8,MAT033,100,PCS,0.50,false,,10kg kraft bag with handle
HH-006,v1.0,9,MAT036,10,PCS,0.50,false,,Export master carton
HH-007,v1.0,1,MAT001,150,KG,2.00,false,,Primary surfactant LABSA
HH-007,v1.0,2,MAT004,300,KG,1.00,false,,Alkaline builder
HH-007,v1.0,3,MAT005,100,KG,1.00,false,,Phosphate builder
